,Context,Conext_translation
1515,Cheerleader team are holding batons doing a choreography in the midle of a square.,El equipo de animadoras sostiene porras haciendo una coreografía en medio de una plaza.
1516,A large group of people are seen standing around a city center waiting for people to arrive.,Se ve a un gran grupo de personas de pie alrededor del centro de la ciudad esperando que llegue la gente.
1517,A lot of people are gathered around the team watching them.,Mucha gente está reunida alrededor del equipo observándolos.
1518,Girls dancing are seen walking through the parade as other people watch on the side.,Se ve a niñas bailando caminando por el desfile mientras otras personas miran al costado.
1519,A large group of people are seen standing around a city center waiting for people to arrive.,Se ve a un gran grupo de personas de pie alrededor del centro de la ciudad esperando que llegue la gente.
1520,Team gets in the street doing a choreography in the middle of the people.,El equipo sale a la calle haciendo una coreografía en medio de la gente.
1521,Anoter team of younger kids are marching in the middle of the people.,Otro término de niños más pequeños está marchando en medio de la gente.
1522,A lot of people are gathered around the team watching them.,Mucha gente está reunida alrededor del equipo observándolos.
1523,A gymnast climbs on a low beam.,Una gimnasta se sube a una luz de cruce.
1524,A gymnast is seen practicing a routine on a balance beam while a man watches her closely on the sidelines.,Se ve a una gimnasta practicando una rutina en una barra de equilibrio mientras un hombre la observa de cerca desde la línea de banda.
1525,A gymnast climbs on a low beam.,Una gimnasta se sube a una luz de cruce.
1526,She jumps in the air and does flips down the beam.,Salta en el aire y baja la viga.
1527,"Once finishes, she begins doing a triple jump into the pit, she tries again, and then the man interviewing her begins doing the same jump.","Una vez que termina, comienza a hacer un triple salto al pozo, vuelve a intentarlo y luego el hombre que la entrevista comienza a hacer el mismo salto."
1528,He then walks over to a student athlete from Florida State University.,Luego se acerca a un estudiante atleta de la Universidad Estatal de Florida.
1529,"Once finishes, she begins doing a triple jump into the pit, she tries again, and then the man interviewing her begins doing the same jump.","Una vez que termina, comienza a hacer un triple salto al pozo, vuelve a intentarlo y luego el hombre que la entrevista comienza a hacer el mismo salto."
1530,A man in a black shirt is talking outside near a track and field.,Un hombre con camisa negra está hablando afuera cerca de una pista y campo.
1531,The athlete then begins talking and showing various techniques that she uses.,"Luego, la atleta comienza a hablar y a mostrar varias técnicas que usa."
1532,He then walks over to a student athlete from Florida State University.,He then walks over to a student athlete from Florida State University.
1533,Hockey players are sitting on the bank on a court side.,Hockey players are sitting on the bank on a court side.
1534,People are playing hockey on ice on a court.,La gente juega al hockey sobre hielo en una cancha.
1535,A shot of players speaking is shown followed by hockey players playing together and pictures of them standing together.,Se muestra una toma de jugadores hablando seguida de jugadores de hockey jugando juntos y fotos de ellos parados juntos.
1536,Hockey players are sitting on the bank on a court side.,Los jugadores de hockey están sentados en la orilla del lado de la cancha.
1537,"A woman holds a leveler against a wall, measuring for wallpaper.","A woman holds a leveler against a wall, measuring for wallpaper."
1538,The woman then brings in large rolls of wall paper.,"Luego, la mujer trae grandes rollos de papel de pared."
1539,A woman is standing on a ladder wiping the wall with a rag.,Una mujer está de pie sobre una escalera limpiando la pared con un trapo.
1540,Next he wrestles a man who has long short blonde hair and he wrestles a man who has a low haircut and he wins.,"A continuación, lucha con un hombre que tiene el pelo rubio largo y corto y lucha con un hombre que tiene un corte de pelo escotado y gana."
1541,First the man walks onto the stage in the beginning and shakes his head roughly.,"Primero, el hombre sube al escenario al principio y niega con la cabeza con brusquedad."
1542,First the man walks onto the stage in the beginning and shakes his head roughly.,"Primero, el hombre sube al escenario al principio y niega con la cabeza con brusquedad."
1543,A little girl is outside on a snowy day.,A little girl is outside on a snowy day.
1544,A little girl is outside on a snowy day.,Una niña está afuera en un día de nieve.
1545,She is playing hopscotch which is drawn on the driveway.,She is playing hopscotch which is drawn on the driveway.
1546,Several skaters are going up and down ramps.,Several skaters are going up and down ramps.
1547,A man wearing a hat is outdoors talking.,Un hombre con sombrero está hablando al aire libre.
1548,The video leads into several clips of skateboarders moving up and down a park and performing tricks around one another.,El video lleva a varios clips de patinadores moviéndose arriba y abajo de un parque y haciendo trucos entre ellos.
1549,A man wearing a hat is outdoors talking.,Un hombre con sombrero está hablando al aire libre.
1550,A man wearing a hat is outdoors talking.,Un hombre con sombrero está hablando al aire libre.
1551,"Later, the silver sedan follows the minivan down.","Later, the silver sedan follows the minivan down."
1552,They get back in the Mercedes and peel out.,Vuelven al Mercedes y se van.
1553,They head back to the car.,Regresan al coche.
1554,Someone takes out the gps.,Alguien saca el gps.
1555,Someone takes out the gps.,Alguien saca el gps.
1556,They get back in the Mercedes and peel out.,Vuelven al Mercedes y se van.
1557,"Later, the silver sedan follows the minivan down.","Más tarde, el sedán plateado sigue a la minivan."
1558,"Later, the silver sedan follows the minivan down.","Later, the silver sedan follows the minivan down."
1559,First she puts 3 quarters of an ounce of Baileys and the same amount of pineapple juice.,Primero pone 3 cuartos de onza de Baileys y la misma cantidad de jugo de piña.
1560,He walks away from the jump and talks to the camera.,Se aleja del salto y habla con la cámara.
1561,He walks away from the jump and talks to the camera.,Se aleja del salto y habla con la cámara.
1562,A man is standing in a field before running and jumping into a square of dirt.,A man is standing in a field before running and jumping into a square of dirt.
1563,A man is standing in a field before running and jumping into a square of dirt.,Un hombre está parado en un campo antes de correr y saltar a un cuadrado de tierra.
1564,A screen says triple jump on it.,Una pantalla dice triple salto sobre ella.
1565,The Mustang pulls over and someone runs a safe distance away.,El Mustang se detiene y alguien corre a una distancia segura.
1566,A man is celebrating with his arms in the air.,Un hombre está celebrando con los brazos en alto.
1567,A man is celebrating with his arms in the air.,Un hombre está celebrando con los brazos en alto.
1568,Colombian woman is running in a race track and make a high jump while people is watching her.,Mujer colombiana corre en una pista de carreras y da un salto de altura mientras la gente la mira.
1569,"She takes a huge leap through the air, landing into the sand.",Da un gran salto en el aire y aterriza en la arena.
1570,A woman runs down a track at a fast speed.,Una mujer corre por una pista a gran velocidad.
1571,A woman runs down a track at a fast speed.,Una mujer corre por una pista a gran velocidad.
1572,Jamaican woman is running really fast in a race track and make a big jump into the dust and grets women sitting on chairs.,La mujer jamaicana está corriendo muy rápido en una pista de carreras y da un gran salto al polvo y disfruta de mujeres sentadas en sillas.
1573,Jamaican woman is running really fast in a race track and make a big jump into the dust and grets women sitting on chairs.,La mujer jamaicana está corriendo muy rápido en una pista de carreras y da un gran salto al polvo y disfruta de mujeres sentadas en sillas.
1574,Jamaican woman is running really fast in a race track and make a big jump into the dust and grets women sitting on chairs.,La mujer jamaicana está corriendo muy rápido en una pista de carreras y da un gran salto al polvo y disfruta de mujeres sentadas en sillas.
1575,This is shown several times from different angles.,Esto se muestra varias veces desde diferentes ángulos.
1576,A woman interview the professional bowler and put on an apparatus on his wrist.,Una mujer entrevista al jugador de bolos profesional y le coloca un aparato en la muñeca.
1577,A Man is shown throwing a bowling ball down a lane.,Se muestra a un hombre lanzando una bola de boliche por un carril.
1578,It then intercuts to a bunch of different throws of the ball towards the pins.,Luego intercala con un montón de diferentes lanzamientos de la pelota hacia los pines.
1579,He then is shown gripping the ball and makes a throw in slow motion.,He then is shown gripping the ball and makes a throw in slow motion.
1580,One man is seen moving a fooseball table around quickly as possible while another man watches on the side.,Se ve a un hombre moviendo una mesa de futbolín lo más rápido posible mientras otro hombre mira desde un lado.
1581,Someone shuts her eyes and presses her knuckles to her lips.,Alguien cierra sus ojos y aprieta sus nudillos contra sus labios.
1582,"Reaching the basement doorway, she eyes her huddled children, then someone.","Reaching the basement doorway, she eyes her huddled children, then someone."
1583,"Someone moves in, swinging wildly.","Alguien entra, balanceándose salvajemente."
1584,"Listening, someone covers her mouth.","Listening, someone covers her mouth."
1585,"At the fight, someone pounds someone's side.","At the fight, someone pounds someone's side."
1586,Someone shuts her eyes and presses her knuckles to her lips.,Alguien cierra sus ojos y aprieta sus nudillos contra sus labios.
1587,"Someone moves in, swinging wildly.","Alguien entra, balanceándose salvajemente."
1588,"The man walks up and down, straight across the yard as he mows the lawn.","The man walks up and down, straight across the yard as he mows the lawn."
1589,The child watches calmly while resting on the man's back.,El niño observa con calma mientras descansa sobre la espalda del hombre.
1590,There's a person mowing the lawn in his yard with a lawn mower while carrying his child on his back.,There's a person mowing the lawn in his yard with a lawn mower while carrying his child on his back.
1591,"The man walks up and down, straight across the yard as he mows the lawn.","El hombre camina hacia arriba y hacia abajo, recto a través del patio mientras corta el césped."
1592,The child watches calmly while resting on the man's back.,El niño observa con calma mientras descansa sobre la espalda del hombre.
1593,"He removes the keyboard from a drawer and sets it on the desk, then sips his beer.","Saca el teclado de un cajón y lo coloca sobre el escritorio, luego bebe su cerveza."
1594,It's a small refrigerator and grabs a bottle of beer.,It's a small refrigerator and grabs a bottle of beer.
1595,"He posts the entry, the image darkens.","He posts the entry, the image darkens."
1596,Then enters a bedroom where he flipped his laptop.,Then enters a bedroom where he flipped his laptop.
1597,He shares the screen on a separate computer monitor.,Comparte la pantalla en un monitor de computadora separado.
1598,Someone crosses through a second columned walkway ascending then descending its step.,Alguien cruza una segunda pasarela con columnas ascendiendo y luego descendiendo su escalón.
1599,"He posts the entry, the image darkens.","Publica la entrada, la imagen se oscurece."
1600,He shares the screen on a separate computer monitor.,He shares the screen on a separate computer monitor.
1601,A dorm mate enters with a six - pack.,Un compañero de dormitorio entra con un paquete de seis.
1602,Someone stretches towards the post where Buckbeak is chained.,Someone stretches towards the post where Buckbeak is chained.
1603,They peer towards the cottage.,Miran hacia la cabaña.
1604,"Pushing aside a branch, someone stares at herself in the past.","Pushing aside a branch, someone stares at herself in the past."
1605,"People watch themselves and someone run back up the hill, then they creep back into the garden.","People watch themselves and someone run back up the hill, then they creep back into the garden."
1606,Someone sees a pebble lying on the pumpkin in front of her.,Someone sees a pebble lying on the pumpkin in front of her.
1607,"Quickly, they run into the forest and observe themselves and someone leave the cottage and hide behind the pumpkins.","Rápidamente, corren hacia el bosque y se observan a sí mismos y a alguien dejar la cabaña y esconderse detrás de las calabazas."
1608,"As the three men go inside, the back door opens.","Cuando los tres hombres entran, se abre la puerta trasera."
1609,"Someone bows to Buckbeak, who lowers his head in return.","Alguien se inclina ante Buckbeak, quien a su vez baja la cabeza."
1610,"Someone bows to Buckbeak, who lowers his head in return.","Someone bows to Buckbeak, who lowers his head in return."
1611,"She closes her eyes, exhales, and drops her hand.","Cierra los ojos, exhala y deja caer la mano."
1612,"One hand in his pocket, someone strolls toward the dining room where two stewards stand outside its doors.","Con una mano en el bolsillo, alguien camina hacia el comedor donde dos mayordomos están fuera de sus puertas."
1613,"In the dining room, a man plays piano as first class passengers holding sheet music sing.","En el comedor, un hombre toca el piano mientras los pasajeros de primera clase con partituras cantan."
1614,"Turning her head, someone covers her mouth.","Al volver la cabeza, alguien le tapa la boca."
1615,Someone descends the grand staircase.,Someone descends the grand staircase.
1616,Someone grimaces as someone tightens the laces.,Alguien hace una mueca cuando alguien aprieta los cordones.
1617,"She turns someone back around, then continues lacing the corset.",Le da la vuelta a alguien y luego continúa atando el corsé.
1618,"Gently cradling someone's face, someone kisses her cheek.","Acunando suavemente la cara de alguien, alguien besa su mejilla."
1619,Someone stands between someone and her mother.,Someone stands between someone and her mother.
1620,"Turning her head, someone covers her mouth.","Al volver la cabeza, alguien le tapa la boca."
1621,Someone stands between someone and her mother.,Alguien se interpone entre alguien y su madre.
1622,"Gently cradling someone's face, someone kisses her cheek.","Gently cradling someone's face, someone kisses her cheek."
1623,"In the dining room, a man plays piano as first class passengers holding sheet music sing.","En el comedor, un hombre toca el piano mientras los pasajeros de primera clase con partituras cantan."
1624,Someone grimaces as someone tightens the laces.,Alguien hace una mueca cuando alguien aprieta los cordones.
1625,Someone descends the grand staircase.,Alguien desciende por la gran escalera.
1626,The man turns to the camera and smiles.,The man turns to the camera and smiles.
1627,A seated man cleans a shoe in a classroom setting with other individuals.,A seated man cleans a shoe in a classroom setting with other individuals.
1628,The man turns to the camera and smiles.,El hombre se vuelve hacia la cámara y sonríe.
1629,The man turns to the camera and smiles.,El hombre se vuelve hacia la cámara y sonríe.
1630,A line of people pick up a rope.,Una fila de personas toma una cuerda.
1631,"As they drop both Russians, someone returns and shoots the ceiling.","As they drop both Russians, someone returns and shoots the ceiling."
1632,Someone finds someone outside the library.,Alguien encuentra a alguien fuera de la biblioteca.
1633,Someone's face lights up.,La cara de alguien se ilumina.
1634,"With a smile, he pulls someone's papers from his pocket.","Con una sonrisa, saca los papeles de alguien de su bolsillo."
1635,"As the suv drives off, our view lifts to the Atlanta skyline.","As the suv drives off, our view lifts to the Atlanta skyline."
1636,Agents swarm into the library.,Los agentes invaden la biblioteca.
1637,Agents swarm into the library.,Los agentes invaden la biblioteca.
1638,Someone twitches a satisfied smile.,Someone twitches a satisfied smile.
1639,"They bounce their hips, then they each kick a thug in the crotch.","Ellos hacen rebotar sus caderas, luego cada uno patea a un matón en la entrepierna."
1640,"They shake hands, hug, then head to someone's suv.","Se dan la mano, se abrazan y luego se dirigen al todoterreno de alguien."
1641,A Taser fires its electrodes.,Un Taser dispara sus electrodos.
1642,Someone finds someone outside the library.,Alguien encuentra a alguien fuera de la biblioteca.
1643,Someone holds up his someone padding.,Alguien sostiene su almohadilla de alguien.
1644,"They shake hands, hug, then head to someone's suv.","Se dan la mano, se abrazan y luego se dirigen al todoterreno de alguien."
1645,"Later, agents haul the criminals to vehicles parked in front of the school.","Más tarde, los agentes transportan a los delincuentes a los vehículos estacionados frente a la escuela."
1646,"Someone convulses, then drops to the floor, revealing someone behind him.","Someone convulses, then drops to the floor, revealing someone behind him."
1647,The man performs several more lifts of the bell bending at the knees first and then hoisting the bell to the shoulders before throwing the weight on the floor.,The man performs several more lifts of the bell bending at the knees first and then hoisting the bell to the shoulders before throwing the weight on the floor.
1648,The man performs several more lifts of the bell bending at the knees first and then hoisting the bell to the shoulders before throwing the weight on the floor.,The man performs several more lifts of the bell bending at the knees first and then hoisting the bell to the shoulders before throwing the weight on the floor.
1649,"He stops at a door marked Stairwell, third floor, and opens it.","Se detiene en una puerta marcada Stairwell, tercer piso, y la abre."
1650,"He peeks into the corridor, as a nurse walks by the reception desk.","Se asoma al pasillo, mientras una enfermera pasa junto al mostrador de recepción."
1651,"He looks around the dark room, then clicks on the light.","Mira alrededor de la habitación oscura, luego hace clic en la luz."
1652,"He quickly limps down the hall, using a cane.","He quickly limps down the hall, using a cane."
1653,"He looks around the dark room, then clicks on the light.","Mira alrededor de la habitación oscura, luego hace clic en la luz."
1654,"He sees someone sitting on the stairs, smoking a cigarette.","He sees someone sitting on the stairs, smoking a cigarette."
1655,"He looks around the dark room, then clicks on the light.","Mira alrededor de la habitación oscura, luego hace clic en la luz."
1656,Someone offers someone a smile instead.,Someone offers someone a smile instead.
1657,"In the present, someone reads the manuscript page with doleful eyes.","In the present, someone reads the manuscript page with doleful eyes."
1658,"Now, someone leans over her sister, letting her face hover just inches from someone's.","Ahora, alguien se inclina sobre su hermana, dejando que su rostro se mueva a solo unos centímetros del de alguien."
1659,Tears spill from her eyes.,Las lágrimas brotan de sus ojos.
1660,"As a tear runs down someone's cheek, she calmly works a bamboo stylus on a panel of the open fan, leaving several characters in black ink.","As a tear runs down someone's cheek, she calmly works a bamboo stylus on a panel of the open fan, leaving several characters in black ink."
1661,"As a tear runs down someone's cheek, she calmly works a bamboo stylus on a panel of the open fan, leaving several characters in black ink.","Mientras una lágrima corre por la mejilla de alguien, ella trabaja con calma un lápiz de bambú en un panel del abanico abierto, dejando varios caracteres en tinta negra."
1662,Her lips spread into a sleepy smile.,Her lips spread into a sleepy smile.
1663,"Her eyes still closed, squeezes her sister's hands.","Her eyes still closed, squeezes her sister's hands."
1664,Someone finds a closed fan in the basket.,Someone finds a closed fan in the basket.
1665,"Her eyes still closed, squeezes her sister's hands.","Her eyes still closed, squeezes her sister's hands."
1666,She gently squeezes someone's fingers as she gazes at the ailing woman.,She gently squeezes someone's fingers as she gazes at the ailing woman.
1667,Our view looks down on the two friend's faces.,Nuestra vista mira hacia los rostros de los dos amigos.
1668,"Staring at the ceiling, someone gives a weary blink.","Mirando al techo, alguien parpadea cansado."
1669,"Now, someone and someone stand side by side with their faces turned to each other.","Now, someone and someone stand side by side with their faces turned to each other."
1670,A view of a bustling sidewalk shows two girls walking arm in arm.,Una vista de una acera bulliciosa muestra a dos niñas caminando del brazo.
1671,Someone and someone's daughter stand just outside the front door.,Alguien y la hija de alguien están parados afuera de la puerta principal.
1672,"Someone hobbles to the raised bed, her gaze fixed on her estranged laotong.","Alguien se acerca cojeando a la cama elevada, con la mirada fija en su laotong distante."
1673,"Someone's bearded husband sits nearby, watching his wife's laotong with a gentle gaze.","Someone's bearded husband sits nearby, watching his wife's laotong with a gentle gaze."
1674,Someone lifts her steady eyes to her modern day counterpart and holds her gaze with a plain and tranquil expression.,Alguien levanta sus ojos firmes hacia su contraparte moderna y sostiene su mirada con una expresión sencilla y tranquila.
1675,"She places the fan in the young woman's palm, then closes her fingers around it.",Coloca el abanico en la palma de la joven y luego cierra los dedos alrededor.
1676,Someone takes someone's hand.,Someone takes someone's hand.
1677,"Now, someone and someone stand side by side with their faces turned to each other.","Now, someone and someone stand side by side with their faces turned to each other."
1678,"Now, someone lies down beside someone on the bed.","Ahora, alguien se acuesta junto a alguien en la cama."
1679,Her lips spread into a sleepy smile.,Sus labios se extendieron en una sonrisa somnolienta.
1680,"Someone blinks, then looks at someone through half closed eyes.","Alguien parpadea, luego mira a alguien con los ojos medio cerrados."
1681,"As someone enters, someone's eyes remain closed.","Cuando alguien entra, los ojos de alguien permanecen cerrados."
1682,Someone turns and both women stare out at the glittering metropolis.,Alguien se vuelve y las dos mujeres miran fijamente la brillante metrópolis.
1683,Shanghai skyscrapers jut into the hazy sky.,Los rascacielos de Shanghai se adentran en el cielo brumoso.
1684,Someone clutches her dying sister's hand.,Someone clutches her dying sister's hand.
1685,An aerial view focuses on gleaming traffic and crowded highway lanes.,Una vista aérea se centra en el tráfico reluciente y los carriles de las autopistas abarrotados.
1686,She opens her mouth to speak.,She opens her mouth to speak.
1687,She extends her trembling fingers and rests them upon her laotong's cheek.,Extiende sus dedos temblorosos y los apoya sobre la mejilla de su laotong.
1688,"At home, facing a window, someone holds the fan and traces characters with her fingertip on the glass pane.","At home, facing a window, someone holds the fan and traces characters with her fingertip on the glass pane."
1689,She flips it over and gazes at the half - filled span of back side panels.,Ella le da la vuelta y mira el tramo medio lleno de paneles laterales traseros.
1690,"Still clutching the folded fan, she lowers the sheet of paper and stares off.","Aún agarrando el abanico doblado, baja la hoja de papel y mira fijamente."
1691,"Brow creased, someone stares down at her weakened sister.","Con el ceño fruncido, alguien mira a su debilitada hermana."
1692,"Someone gazes at her sister, whose eyes are closed.","Someone gazes at her sister, whose eyes are closed."
1693,"She gazes at someone, who lies peacefully by with her eyes closed and her hands folded on her stomach.","She gazes at someone, who lies peacefully by with her eyes closed and her hands folded on her stomach."
1694,The women smile as they stitch.,The women smile as they stitch.
1695,She lowers herself to the edge of the platform and leans over someone.,Se baja al borde de la plataforma y se inclina sobre alguien.
1696,She flips it over and gazes at the half - filled span of back side panels.,Ella le da la vuelta y mira el tramo medio lleno de paneles laterales traseros.
1697,"Brow creased, someone stares down at her weakened sister.","Con el ceño fruncido, alguien mira a su debilitada hermana."
1698,"She places the fan in the young woman's palm, then closes her fingers around it.","She places the fan in the young woman's palm, then closes her fingers around it."
1699,"She pauses by someone's feet, then inches closer.","Hace una pausa a los pies de alguien, luego se acerca unos centímetros más."
1700,"Someone gazes at her sister, whose eyes are closed.","Alguien mira a su hermana, que tiene los ojos cerrados."
1701,She extends her trembling fingers and rests them upon her laotong's cheek.,Extiende sus dedos temblorosos y los apoya sobre la mejilla de su laotong.
1702,"Someone opens it, revealing the columns of hand - painted characters on its panels.","Someone opens it, revealing the columns of hand - painted characters on its panels."
1703,"Someone hobbles to the raised bed, her gaze fixed on her estranged laotong.","Alguien se acerca cojeando a la cama elevada, con la mirada fija en su laotong distante."
1704,"When someone returned home after someone's funeral, she looked at the fan and could not allow things to end as they had, so she opened a new panel, dipped her brush, and wrote a final inscription.","When someone returned home after someone's funeral, she looked at the fan and could not allow things to end as they had, so she opened a new panel, dipped her brush, and wrote a final inscription."
1705,"Later, in someone's bedroom, golden light shines through the windows, casting a warm glow on someone's face.","Later, in someone's bedroom, golden light shines through the windows, casting a warm glow on someone's face."
1706,"As someone enters, someone's eyes remain closed.","As someone enters, someone's eyes remain closed."
1707,She lowers herself to the edge of the platform and leans over someone.,Se baja al borde de la plataforma y se inclina sobre alguien.
1708,"Later, in someone's bedroom, golden light shines through the windows, casting a warm glow on someone's face.","Más tarde, en el dormitorio de alguien, una luz dorada atraviesa las ventanas y proyecta un cálido resplandor en el rostro de alguien."
1709,Their 19th century attire contrasts with Shanghai's modern skyline behind them.,Their 19th century attire contrasts with Shanghai's modern skyline behind them.
1710,Someone and someone's daughter stand just outside the front door.,Someone and someone's daughter stand just outside the front door.
1711,"Now, someone leans over her sister, letting her face hover just inches from someone's.","Ahora, alguien se inclina sobre su hermana, dejando que su rostro se mueva a solo unos centímetros del de alguien."
1712,"Staring at the ceiling, someone gives a weary blink.","Staring at the ceiling, someone gives a weary blink."
1713,She lowers herself to the edge of the platform and leans over someone.,Se baja al borde de la plataforma y se inclina sobre alguien.
1714,"She pauses by someone's feet, then inches closer.","Hace una pausa a los pies de alguien, luego se acerca unos centímetros más."
1715,Someone turns and both women stare out at the glittering metropolis.,Alguien se vuelve y las dos mujeres miran fijamente la brillante metrópolis.
1716,"Closing her eyes, someone lifts someone's hand onto her stomach.","Al cerrar los ojos, alguien levanta la mano de alguien sobre su estómago."
1717,Someone turns and both women stare out at the glittering metropolis.,Alguien se vuelve y las dos mujeres miran fijamente la brillante metrópolis.
1718,Someone offers someone a smile instead.,Alguien le ofrece a alguien una sonrisa en su lugar.
1719,A man is doing a rubiks cube behind a table.,Un hombre está haciendo un cubo de rubik detrás de una mesa.
1720,There is a timer on the table in front of him.,Hay un temporizador en la mesa frente a él.
1721,One of them is someone.,One of them is someone.
1722,His glass of milk is beside him on the table.,Su vaso de leche está a su lado en la mesa.
1723,He reaches for his jacket.,Coge su chaqueta.
1724,He takes a seat next to someone.,Toma asiento junto a alguien.
1725,Someone turns and slaps her on the cheek.,Alguien se vuelve y le da una bofetada en la mejilla.
1726,"Someone gives her a look, then lowers his eyes.","Someone gives her a look, then lowers his eyes."
1727,He takes a seat next to someone.,Toma asiento junto a alguien.
1728,He reaches for his jacket.,Coge su chaqueta.
1729,He takes note of someone's presence with a quick dart of his eyes.,Toma nota de la presencia de alguien con un rápido movimiento de los ojos.
1730,"He looks around at the unused pool tables, then goes to the bar.","He looks around at the unused pool tables, then goes to the bar."
1731,A man in a business suit comes out of the back room and joins him at the bar.,Un hombre en traje de negocios sale de la trastienda y se une a él en el bar.
1732,Someone is already in the front room.,Someone is already in the front room.
1733,Someone is already in the front room.,Someone is already in the front room.
1734,His glass of milk is beside him on the table.,Su vaso de leche está a su lado en la mesa.
1735,The man looks to the bartender for his answer.,El hombre mira al camarero en busca de su respuesta.
1736,He takes note of someone's presence with a quick dart of his eyes.,Toma nota de la presencia de alguien con un rápido movimiento de los ojos.
1737,"Someone gives her a look, then lowers his eyes.",Alguien la mira y luego baja los ojos.
1738,As someone pushes through the glass doors to the front room of someone's bar.,As someone pushes through the glass doors to the front room of someone's bar.
1739,He takes note of someone's presence with a quick dart of his eyes.,Toma nota de la presencia de alguien con un rápido movimiento de los ojos.
1740,A black poodle is walking down a concrete sidewalk on a red leash.,Un caniche negro camina por una acera de concreto con una correa roja.
1741,"As the dog continues walking down the sidewalk, he stops at every set of bricks and begin to smell around them.","Mientras el perro continúa caminando por la acera, se detiene en cada juego de ladrillos y comienza a oler a su alrededor."
1742,A dog is seen walking along the street on a leash as well as a persons hand holding the leash.,"Se ve un perro caminando por la calle con una correa, así como la mano de una persona sosteniendo la correa."
1743,"The man in the black suit is using nunchucks to play ping pong, they now have 4 players playing against him, the man in the black suit taunts them by reading a book while playing, he also pauses the ping pong balls, takes a sip of water and resumes The man starts laughing at them, and the men are frustrated.","El hombre del traje negro está usando nunchucks para jugar al ping pong, ahora tienen 4 jugadores jugando contra él, el hombre del traje negro se burla de ellos leyendo un libro mientras juega, también detiene las pelotas de ping pong, toma un sorbo de agua y reanuda. El hombre comienza a reírse de ellos, y los hombres se frustran."
1744,The man in the black suit spikes the ping pong ball and celebrates.,El hombre del traje negro lanza la pelota de ping pong y celebra.
1745,The man in the black suit spikes the ping pong ball and celebrates.,El hombre del traje negro lanza la pelota de ping pong y celebra.
1746,"The camera scene switches to show the players from another perspective, the player in the black suit makes another spike on the ball.","The camera scene switches to show the players from another perspective, the player in the black suit makes another spike on the ball."
1747,A final challenger arrives and walks towards him.,Llega un retador final y camina hacia él.
1748,"Two men are playing ping pong together, one guy is wearing a black suit, the guy in the black suit has a unique style.","Dos hombres juegan al ping pong juntos, un chico lleva un traje negro, el chico del traje negro tiene un estilo único."
1749,A final challenger arrives and walks towards him.,Llega un retador final y camina hacia él.
1750,The boy splashes water on his face and lathers his hands with soapy water from the dishes.,El niño se echa agua en la cara y se enjabona las manos con agua jabonosa de los platos.
1751,"A young boy kneels outside and washes his face and hands from small dishes, in front of him, filled with water and soap.","Un niño se arrodilla afuera y se lava la cara y las manos de platos pequeños, frente a él, llenos de agua y jabón."
1752,A boy kneels in a corner of an outdoor patio in front of a row of bowls.,Un niño se arrodilla en una esquina de un patio al aire libre frente a una hilera de tazones.
1753,A person's real hand appears and begins to apply white designs on one of the red fingernails on the plastic hand.,A person's real hand appears and begins to apply white designs on one of the red fingernails on the plastic hand.
1754,A brown plastic hand with a black plastic arm appears with white fingernail tips and red fingernails.,Aparece una mano de plástico marrón con un brazo de plástico negro con puntas de uñas blancas y uñas rojas.
1755,A person applies paint designs to a red fingernail on a plastic hand with a flexible black limb labeled nail trainer.,Una persona aplica diseños de pintura a una uña roja en una mano de plástico con un entrenador de uñas etiquetado de extremidad negra flexible.
1756,A brown plastic hand with a black plastic arm appears with white fingernail tips and red fingernails.,A brown plastic hand with a black plastic arm appears with white fingernail tips and red fingernails.
1757,A large group of people are seen riding on camels while people lead in front.,Se ve a un gran grupo de personas montadas en camellos mientras que la gente conduce al frente.
1758,More shots are shown of people riding on camels as well as sitting.,Se muestran más tomas de personas montadas en camellos y sentadas.
1759,More shots are shown of people riding on camels as well as sitting.,Se muestran más tomas de personas montadas en camellos y sentadas.
1760,A large group of people are seen riding on camels while people lead in front.,Se ve a un gran grupo de personas montadas en camellos mientras que la gente conduce al frente.
1761,"One group of people are seen stagnant with what appears to be their family, with only two people and the rest of them surrounding each other on the ground with blankets.","Un grupo de personas se ve estancado con lo que parece ser su familia, con solo dos personas y el resto rodeándose en el suelo con mantas."
1762,"A little boy is bending down trying to catch more speed, he is pretty good at skiing.","A little boy is bending down trying to catch more speed, he is pretty good at skiing."
1763,They continue forward very slowly taking their time and enjoying the experience.,Continúan avanzando muy lentamente tomándose su tiempo y disfrutando de la experiencia.
1764,"A little boy is bending down trying to catch more speed, he is pretty good at skiing.","Un niño pequeño se inclina para intentar coger más velocidad, es bastante bueno para esquiar."
1765,People are skiing down a snowy slope very slowly and gracefully.,People are skiing down a snowy slope very slowly and gracefully.
1766,People are skiing down a snowy slope very slowly and gracefully.,People are skiing down a snowy slope very slowly and gracefully.
1767,"A group of men labor over an ice fishing hole using a fishing pole, a wire, and their hands to finally wrangle a fish from deep under the ice.","Un grupo de hombres trabaja sobre un agujero de pesca en el hielo usando una caña de pescar, un alambre y sus manos para finalmente sacar un pez de las profundidades del hielo."
1768,"A group of men are standing over a small, round, hole in the ice.",Un grupo de hombres está parado sobre un pequeño agujero redondo en el hielo.
1769,One man is on his knees peering deeply into the hole while the other man has a fishing line submerged in the hole.,Un hombre está de rodillas mirando profundamente en el agujero mientras que el otro tiene un hilo de pescar sumergido en el agujero.
